timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021-02-01,214091.66011800,224599.90653800,208936.77750400,216895.49807800,33092.97000000,34717.27000000,32296.16000000,33526.37000000,82718.27688200,82718.27688200
2021-01-31,221660.34056600,222176.59868600,208131.40189800,214091.72481200,34262.89000000,34342.69000000,32171.67000000,33092.98000000,68742.28038400,68742.28038400
2021-01-30,221552.88383200,225995.55020000,212358.05500000,221660.27587200,34246.28000000,34933.00000000,32825.00000000,34262.88000000,84889.68134000,84889.68134000
2021-01-29,215872.10369200,249278.27386000,206473.48876000,221591.18268000,33368.18000000,38531.90000000,31915.40000000,34252.20000000,231827.00562600,231827.00562600
2021-01-28,196425.15198600,218562.08021200,193060.48174000,215850.62528400,30362.19000000,33783.98000000,29842.10000000,33364.86000000,92621.14561700,92621.14561700
2021-01-27,210022.66629400,210626.13192600,189176.38336800,196450.77081000,32464.01000000,32557.29000000,29241.72000000,30366.15000000,95911.96171100,95911.96171100
2021-01-26,208665.25678600,212984.81047200,199499.28147800,210046.99123800,32254.19000000,32921.88000000,30837.37000000,32467.77000000,84972.20691000,84972.20691000
2021-01-25,208699.28583000,225620.32500000,206438.55400000,208665.32148000,32259.45000000,34875.00000000,31910.00000000,32254.20000000,88499.22692100,88499.22692100
2021-01-24,207525.41320000,213949.52740000,199904.46000000,208702.19706000,32078.00000000,33071.00000000,30900.00000000,32259.90000000,57978.03796600,57978.03796600
2021-01-23,213166.73000000,216440.24640000,203075.50110400,207525.41320000,32950.00000000,33456.00000000,31390.16000000,32078.00000000,64595.28767500,64595.28767500
2021-01-22,199593.86410600,218837.35318200,186642.19000000,213135.48279800,30851.99000000,33826.53000000,28850.00000000,32945.17000000,142971.68404900,142971.68404900
2021-01-21,229458.16716200,230310.64000000,194541.32740000,199581.83102200,35468.23000000,35600.00000000,30071.00000000,30850.13000000,131803.18292600,131803.18292600
2021-01-20,232264.01063600,235585.20651400,216077.96000000,229458.16716200,35901.94000000,36415.31000000,33400.00000000,35468.23000000,89368.42291800,89368.42291800
2021-01-19,236925.34272400,244866.79000000,231889.56176400,232196.40540600,36622.46000000,37850.00000000,35844.06000000,35891.49000000,79611.30776900,79611.30776900
2021-01-18,231766.19030600,242407.31820200,225135.12000000,236982.33813800,35824.99000000,37469.83000000,34800.00000000,36631.27000000,70698.11875000,70698.11875000
2021-01-17,232865.92361200,238413.56350000,218989.19000000,231789.60953400,35994.98000000,36852.50000000,33850.00000000,35828.61000000,80157.72738400,80157.72738400
2021-01-16,237669.12964200,245513.73000000,228743.75132000,232865.92361200,36737.43000000,37950.00000000,35357.80000000,35994.98000000,86348.43150800,86348.43150800
2021-01-15,253246.02157400,257144.15854400,222599.11520000,237700.11806800,39145.21000000,39747.76000000,34408.00000000,36742.22000000,118300.92091600,118300.92091600
2021-01-14,241770.40577200,259422.94000000,237434.93736200,253241.42830000,37371.38000000,40100.00000000,36701.23000000,39144.50000000,102950.38942100,102950.38942100
2021-01-13,220277.57101000,244866.79000000,209479.17200000,241770.40577200,34049.15000000,37850.00000000,32380.00000000,37371.38000000,124477.91493800,124477.91493800
2021-01-12,229083.84767800,236961.18320000,210456.05140000,220291.09205600,35410.37000000,36628.00000000,32531.00000000,34051.24000000,133948.15199600,133948.15199600
2021-01-11,246807.73938800,247549.90895600,196799.14800000,229045.67821800,38150.02000000,38264.74000000,30420.00000000,35404.47000000,249131.53994300,249131.53994300
2021-01-10,259346.73046800,267509.69000000,227147.81503400,246807.73938800,40088.22000000,41350.00000000,35111.11000000,38150.02000000,118209.54450300,118209.54450300
2021-01-09,262573.27902400,267703.77200000,250495.16800000,259346.73046800,40586.96000000,41380.00000000,38720.00000000,40088.22000000,75785.97967500,75785.97967500
2021-01-08,255104.48611200,271391.33000000,236133.10000000,262546.43101400,39432.48000000,41950.00000000,36500.00000000,40582.81000000,139789.95749900,139789.95749900
2021-01-07,237875.69758400,261137.33100000,234839.22000000,255103.19223200,36769.36000000,40365.00000000,36300.00000000,39432.28000000,132825.70043700,132825.70043700
2021-01-06,219633.08938200,238974.52517400,215353.38720000,237875.69758400,33949.53000000,36939.21000000,33288.00000000,36769.36000000,127139.20131000,127139.20131000
2021-01-05,206954.48865000,222288.58400000,193435.06000000,219633.08938200,31989.75000000,34360.00000000,29900.00000000,33949.53000000,116049.99703800,116049.99703800
2021-01-04,213490.52347000,217371.84000000,181984.22200000,206947.76047400,33000.05000000,33600.00000000,28130.00000000,31988.71000000,140899.88569000,140899.88569000
2021-01-03,208162.32563000,224993.50483400,206781.36750600,213490.52347000,32176.45000000,34778.11000000,31962.99000000,33000.05000000,120957.56675000,120957.56675000
2021-01-02,189758.49998000,215431.02000000,187266.68118200,208174.48810200,29331.70000000,33300.00000000,28946.53000000,32178.33000000,129993.87336200,129993.87336200
2021-01-01,187118.53192200,191494.24000000,185183.79315800,189758.43528600,28923.63000000,29600.00000000,28624.57000000,29331.69000000,54182.92501100,54182.92501100
2020-12-31,186807.48317000,189553.42000000,180172.79000000,187118.53192200,28875.55000000,29300.00000000,27850.00000000,28923.63000000,75508.50515200,75508.50515200
2020-12-30,177164.51900000,187586.72240000,176744.00800000,186807.41847600,27385.00000000,28996.00000000,27320.00000000,28875.54000000,95356.05782600,95356.05782600
2020-12-29,175187.59974800,177326.25400000,167428.07200000,177164.51900000,27079.42000000,27410.00000000,25880.00000000,27385.00000000,69411.59260600,69411.59260600
2020-12-28,170025.79487600,177908.50000000,168857.80940000,175187.53505400,26281.54000000,27500.00000000,26101.00000000,27079.41000000,79721.74249600,79721.74249600
2020-12-27,171396.40196000,183873.28680000,166263.58000000,170026.57120400,26493.40000000,28422.00000000,25700.00000000,26281.66000000,148455.58621400,148455.58621400
2020-12-26,159874.85341800,173813.56388200,158500.30000000,171396.33726600,24712.47000000,26867.03000000,24500.00000000,26493.39000000,97806.51338600,97806.51338600
2020-12-25,153512.32790600,160375.52028400,151601.33184000,159874.85341800,23728.99000000,24789.86000000,23433.60000000,24712.47000000,79519.94356900,79519.94356900
2020-12-24,150299.62386600,153935.68544200,146877.50534800,153513.68648000,23232.39000000,23794.43000000,22703.42000000,23729.20000000,69013.83425200,69013.83425200
2020-12-23,154041.52482600,155912.54000000,146208.44000000,150302.01754400,23810.79000000,24100.00000000,22600.00000000,23232.76000000,119047.25973300,119047.25973300
2020-12-22,146983.99167200,154211.73474000,144613.08596000,154041.52482600,22719.88000000,23837.10000000,22353.40000000,23810.79000000,87033.12616000,87033.12616000
2020-12-21,151743.27047600,155930.46023800,141129.96100000,146982.89187400,23455.54000000,24102.77000000,21815.00000000,22719.71000000,88030.29724300,88030.29724300
2020-12-20,154111.45904000,157174.07300000,149184.36400000,151743.14108800,23821.60000000,24295.00000000,23060.00000000,23455.52000000,76690.14568500,76690.14568500
2020-12-19,149490.94886600,156374.90801800,147178.85000000,154111.52373400,23107.39000000,24171.47000000,22750.00000000,23821.61000000,86045.06467700,86045.06467700
2020-12-18,147483.88221000,150641.14349200,144591.09000000,149490.94886600,22797.15000000,23285.18000000,22350.00000000,23107.39000000,79646.13431500,79646.13431500
2020-12-17,138028.01308800,153971.72000000,137345.36200000,147483.94690400,21335.52000000,23800.00000000,21230.00000000,22797.16000000,184882.47674800,184882.47674800
2020-12-16,125677.34624200,139480.26400000,124720.97484000,138028.01308800,19426.43000000,21560.00000000,19278.60000000,21335.52000000,114306.33557000,114306.33557000
2020-12-15,124689.21008600,126606.15800000,123242.07000000,125677.34624200,19273.69000000,19570.00000000,19050.00000000,19426.43000000,61834.36601100,61834.36601100
2020-12-14,124050.68030600,125176.42060000,122918.60000000,124685.65191600,19174.99000000,19349.00000000,19000.00000000,19273.14000000,47257.20129400,47257.20129400
2020-12-13,121680.93908600,125577.52340000,121049.71972800,124050.68030600,18808.69000000,19411.00000000,18711.12000000,19174.99000000,56560.82174400,56560.82174400
2020-12-12,116685.52718200,122586.46100400,116583.11658000,121680.93908600,18036.53000000,18948.66000000,18020.70000000,18808.69000000,49519.97843200,49519.97843200
2020-12-11,118097.66781400,118342.98746200,113682.43170200,116685.52718200,18254.81000000,18292.73000000,17572.33000000,18036.53000000,72610.72425900,72610.72425900
2020-12-10,119951.02152600,120054.72600800,115874.19972800,118096.50332200,18541.29000000,18557.32000000,17911.12000000,18254.63000000,52890.67509400,52890.67509400
2020-12-09,118545.99723400,120586.83415800,114184.91000000,119950.95683200,18324.11000000,18639.57000000,17650.00000000,18541.28000000,79585.55380100,79585.55380100
2020-12-08,123998.34286000,124826.03789600,117743.08000000,118545.99723400,19166.90000000,19294.84000000,18200.00000000,18324.11000000,61626.94761400,61626.94761400
